ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1380	"M"	37					1
1381	"M"	31	6	5	1	2	1
1382	"M"	47	6	5	1	2	1
1383	"F"	37	7	5	1	2	2
1384	"F"	37	6	5	2	2	2
1385	"M"	49	7	5	1	2	1
1386	"M"	54	5	5	1	2	1
1387	"M"	39	8	5	1	2	1
1388	"M"	52	6	5	1	2	1
1389	"M"	48	6	5	1	2	1
1390	"F"	44	8	5	4	2	2
1391	"M"	62	4	5	6	2	1
1392	"M"	50					1
1393	"M"	37	5	5	6	5	1
1394	"F"	51	6	5	5	1	2
1395	"M"	49	6	5	1	2	1
1396	"M"	40					1
1397	"F"	36	8	5	4	2	2
1398	"F"	34	5	5	2	2	2
1399	"M"	50	3	5	1	2	1
1400	"F"	36	5	5	4	2	2
1401	"M"	47	5	5	1	2	1
1402	"M"	71	6	5	3	2	1
1404	"F"	44	6	5	1	3	2
1405	"F"	39	6	6	4	2	2
1406	"M"	45	6	5	1	2	1
1407	"F"	46	5	5	2	2	2
1408	"F"	35					2
1409	"F"	57	5	5	3	2	2
1410	"F"	47	8	5	3	2	2
1411	"F"	70	5	5	3	4	2
1412	"M"	36	6	5	1	2	1
1413	"M"	52	5	5	1	2	1
1414	"M"	44	6	5	1	2	1
1415	"M"	59	6	5	1	2	1
1416	"M"	47	4	5	1	2	1
1417	"M"	62	7	5	1	2	1
1418	"M"	44					1
1419	"F"	61	3	5	1	2	2
1420	"M"	43	5	5	2	2	1
1421	"F"	44	3	5	4	2	2
1422	"M"	47	8	5	5	3	1
1423	"M"	72	7	5	3	2	1
1424	"M"	69	3	5	3	2	1
1425	"F"	45	8	5	6	2	2
1426	"F"	31	6	5	1	2	2
1427	"M"	61	3	5	1	2	1
1428	"F"	35	5	5	1	3	2
1429	"F"	39	5	5	2	2	2
1430	"F"	45	5	5	1	3	2
1431	"M"	39	5	5	6	2	1
1432	"M"	78	8	5	3	2	1
1433	"M"	41	8	5	1	2	1
1434	"F"	43	8	5	1	2	2
1435	"M"	72	8	5	3	2	1
1436	"M"	36	6	5	1	2	1
1437	"M"	45	6	5	1	2	1
1438	"M"	57	8	5	3	2	1
1439	"F"	48	5	5	1	3	2
1440	"F"	51					2
1441	"F"	40	8	5	6	2	2
1442	"F"	31					2
1443	"F"	34	5	5	2	2	2
1444	"F"	62	5	5	1	3	2
1445	"M"	61	6	5	3	2	1
1446	"F"	45	8	5	2	2	2
1447	"M"	49	7	5	6	2	1
1448	"M"	69	5	5	1	4	1
1449	"M"	64	8	5	3	2	1
1450	"F"	62	5	5	6	2	2
1451	"M"	47					1
1452	"M"	45					1
1453	"M"	39	6	5	1	2	1
1454	"M"	67	8	5	3	5	1
1455	"M"	41					1
1456	"M"	43	6	5	1	2	1
1457	"M"	40	4	5	1	2	1
1458	"F"	47	4	5	4	2	2
1459	"F"	37	6	5	2	2	2
1460	"M"	42	6	5	1	2	1
1461	"M"	66	6	5	1	2	1
1462	"M"	53	8	5	1	2	1
1463	"F"	42	3	5	2	2	2
1464	"M"	63	6	5	3	2	1
1465	"M"	38	7	5	1	2	1
1466	"M"	41	7	5	1	2	1
1467	"F"	66					2
1468	"M"	46	7	5	1	2	1
1469	"M"	42	8	5	1	2	1
1470	"F"	82	5	1	3	4	2
1471	"F"	24	5	5	6	3	2
1472	"M"	47	5	5		2	1
1473	"F"	33	5	5	4	2	2
1474	"F"	52	6	5	2	2	2
1475	"F"	38	5	5	1	2	2
1476	"F"	55	3	5	2	2	2
1478	"M"	60	5	1	1	2	1
1479	"M"	64	8	5	3	2	1
1480	"F"	31	5	5	4	2	2
1481	"M"	71					1
1482	"F"	48	8	5	4	2	2
1483	"M"	47	6	5	1	2	1
1484	"F"	40	4	5	1	2	2
1485	"M"	46	6	5	1	2	1
1486	"M"	52	6	5	2	2	1
